id,home,away,home_goals,away_goals,tot_goals,odd_over,odd_under,goals_odd,event_day
172221647,11227215,11235522,2.0,3.0,5.0,1.200,4.333,2.5,20250330
172221650,11235522,11226639,5.0,5.0,10.0,1.166,4.500,2.5,20250330
172221653,11227747,11226186,1.0,3.0,4.0,1.111,6.000,2.5,20250330
172221658,11226639,11227215,4.0,2.0,6.0,1.111,6.000,2.5,20250330
172221655,11226186,11235522,2.0,4.0,6.0,1.166,4.500,2.5,20250330
172221661,11227215,11226186,3.0,3.0,6.0,1.200,4.333,2.5,20250330
172221666,11235522,11227747,3.0,3.0,6.0,1.142,5.000,2.5,20250330
172221668,11227215,11227747,1.0,4.0,5.0,1.142,5.000,2.5,20250330
172221675,11226639,11226186,4.0,2.0,6.0,1.111,6.000,2.5,20250330
172221686,11227747,11226639,4.0,2.0,6.0,1.062,8.000,2.5,20250330
172221691,11235522,11227215,4.0,3.0,7.0,1.200,4.333,2.5,20250330
172221694,11226639,11235522,2.0,1.0,3.0,1.100,6.500,2.5,20250330
172221696,11226186,11227747,4.0,4.0,8.0,1.142,5.000,2.5,20250330
172221701,11235522,11226186,5.0,0.0,5.0,1.142,5.000,2.5,20250330
172221703,11227215,11226639,1.0,4.0,5.0,1.083,7.000,2.5,20250330
172221707,11226186,11227215,4.0,0.0,4.0,1.142,5.000,2.5,20250330
172221709,11227747,11235522,1.0,4.0,5.0,1.125,5.500,2.5,20250330
172221713,11227766,11227230,5.0,1.0,6.0,1.142,5.000,2.5,20250330
172221716,11226205,11226661,1.0,1.0,2.0,1.083,7.000,2.5,20250330
172221723,11226661,11227766,4.0,3.0,7.0,1.062,8.000,2.5,20250330
172221726,11227230,11235530,1.0,4.0,5.0,1.125,5.500,2.5,20250330
172221747,11227766,11226205,3.0,2.0,5.0,1.111,6.000,2.5,20250330
172221735,11235530,11226661,1.0,4.0,5.0,1.142,5.000,2.5,20250330
172221758,11226205,11235530,6.0,3.0,9.0,1.142,5.000,2.5,20250330
172221765,11226661,11227230,5.0,1.0,6.0,1.111,6.000,2.5,20250330
172221769,11227230,11226205,1.0,3.0,4.0,1.166,4.500,2.5,20250330
172221774,11235530,11227766,4.0,2.0,6.0,1.142,5.000,2.5,20250330
172221776,11227230,11227766,1.0,1.0,2.0,1.142,5.000,2.5,20250330
172221779,11226661,11226205,1.0,2.0,3.0,1.125,5.500,2.5,20250330
172221782,11227766,11226661,3.0,2.0,5.0,1.062,8.000,2.5,20250330
172221784,11235530,11227230,4.0,0.0,4.0,1.142,5.000,2.5,20250330
172221786,11226661,11235530,2.0,4.0,6.0,1.125,5.500,2.5,20250330
172221790,11226205,11227766,2.0,2.0,4.0,1.111,6.000,2.5,20250330
172116594,11230361,11230360,0.0,0.0,0.0,1.444,2.625,2.5,20250329
172116597,11260207,11266091,3.0,2.0,5.0,1.200,4.333,2.5,20250329
172116600,11230361,11254318,4.0,0.0,4.0,1.363,3.000,2.5,20250329
172116604,11266091,11230360,1.0,3.0,4.0,1.300,3.400,2.5,20250329
172116606,11260207,11254318,0.0,1.0,1.0,1.071,7.500,2.5,20250329
172116610,11266091,11230361,2.0,2.0,4.0,1.222,4.000,2.5,20250329
172116622,11266091,11254318,1.0,1.0,2.0,1.400,2.750,2.5,20250329
172116625,11230360,11260207,4.0,1.0,5.0,1.083,7.000,2.5,20250329
172116630,11230360,11254318,2.0,1.0,3.0,1.166,4.500,2.5,20250329
172116635,11230361,11260207,2.0,2.0,4.0,1.222,4.000,2.5,20250329
172116640,11243091,11261493,3.0,2.0,5.0,1.400,2.750,2.5,20250329
172116649,11224612,11234328,3.0,4.0,7.0,,,,20250329
172116658,11253273,11261493,3.0,1.0,4.0,1.363,3.000,2.5,20250329
172116662,11243091,11224612,1.0,2.0,3.0,1.400,2.750,2.5,20250329
172116666,11253273,11234328,4.0,1.0,5.0,1.100,6.500,2.5,20250329
172116671,11261493,11224612,3.0,4.0,7.0,1.222,4.000,2.5,20250329
172116673,11253273,11224612,0.0,0.0,0.0,1.444,2.625,2.5,20250329
172116676,11234328,11243091,1.0,3.0,4.0,1.050,8.500,2.5,20250329
172116678,11253273,11243091,1.0,0.0,1.0,1.166,4.500,2.5,20250329
172116683,11234328,11261493,4.0,3.0,7.0,1.166,4.500,2.5,20250329
172116693,11261493,11243091,3.0,4.0,7.0,1.333,3.250,2.5,20250329
172116697,11234328,11224612,3.0,6.0,9.0,,,,20250329
172116701,11261493,11253273,4.0,1.0,5.0,1.285,3.500,2.5,20250329
172116704,11224612,11243091,4.0,5.0,9.0,1.363,3.000,2.5,20250329
172116708,11234328,11253273,2.0,2.0,4.0,1.083,7.000,2.5,20250329
172116717,11224612,11261493,2.0,1.0,3.0,1.200,4.333,2.5,20250329
172116720,11224612,11253273,1.0,1.0,2.0,1.571,2.350,2.5,20250329
172116722,11243091,11234328,3.0,3.0,6.0,1.062,8.000,2.5,20250329
172116724,11243091,11253273,2.0,2.0,4.0,1.142,5.000,2.5,20250329
172116726,11261493,11234328,3.0,2.0,5.0,1.166,4.500,2.5,20250329
172127041,11265743,11239812,3.0,4.0,7.0,1.025,10.500,2.5,20250329
172127051,11222490,11255371,4.0,1.0,5.0,1.083,7.000,2.5,20250329
172127062,11243668,11239812,2.0,2.0,4.0,1.222,4.000,2.5,20250329
172127066,11265743,11222490,3.0,2.0,5.0,1.040,9.000,2.5,20250329
172127071,11243668,11255371,2.0,3.0,5.0,1.083,7.000,2.5,20250329
172127074,11239812,11222490,5.0,3.0,8.0,1.062,8.000,2.5,20250329
172127077,11243668,11222490,2.0,2.0,4.0,1.200,4.333,2.5,20250329
172127079,11255371,11265743,0.0,4.0,4.0,1.020,11.000,2.5,20250329
172127081,11243668,11265743,4.0,2.0,6.0,1.050,8.500,2.5,20250329
172127084,11255371,11239812,5.0,5.0,10.0,1.012,13.000,2.5,20250329
172127095,11239812,11265743,2.0,7.0,9.0,,,,20250329
