,id,home,away,home_goals,away_goals,tot_goals,odd_over,odd_under,goals_odd
379,172020239,11265418,11265419,2.0,5.0,7.0,1.083,7.0,2.5
382,172019806,11222890,11245892,6.0,5.0,11.0,1.05,8.5,2.5
383,172019814,11234654,11225890,3.0,5.0,8.0,1.166,4.5,2.5
384,172020244,11265471,11265472,4.0,0.0,4.0,1.363,3.0,2.5
388,172019842,11222892,11225890,1.0,1.0,2.0,1.083,7.0,2.5
390,172020260,11265475,11265472,3.0,2.0,5.0,1.083,7.0,2.5
391,172020266,11265473,11265471,1.0,1.0,2.0,1.142,5.0,2.5
394,172020268,11265471,11265475,3.0,0.0,3.0,1.2,4.333,2.5
395,172019857,11234654,11245892,4.0,3.0,7.0,1.083,7.0,2.5
396,172019859,11222890,11222892,2.0,7.0,9.0,1.062,8.0,2.5
397,172020271,11265475,11265473,2.0,1.0,3.0,1.071,7.5,2.5
399,172019876,11225890,11234654,0.0,5.0,5.0,1.111,6.0,2.5
400,172020273,11265472,11265471,1.0,3.0,4.0,1.333,3.25,2.5
401,172019880,11222890,11225890,4.0,4.0,8.0,1.062,8.0,2.5
402,172019884,11222892,11245892,3.0,5.0,8.0,1.04,9.0,2.5
403,172020275,11265473,11265472,5.0,8.0,13.0,1.1,6.5,2.5
404,172019887,11225890,11222892,3.0,4.0,7.0,1.083,7.0,2.5
405,172019896,11234654,11222890,4.0,1.0,5.0,1.111,6.0,2.5
406,172020278,11265472,11265475,4.0,0.0,4.0,1.1,6.5,2.5
407,172020281,11265471,11265473,4.0,0.0,4.0,1.166,4.5,2.5
