id,home,away,home_goals,away_goals,tot_goals,odd_over,odd_under,goals_odd
172007780,11232199,11260654,1.0,3.0,4.0,1.222,4.000,2.5
172007791,11226681,11230372,4.0,4.0,8.0,1.222,4.000,2.5
172007631,11229841,11227783,1.0,3.0,4.0,1.083,7.000,2.5
172007638,11233974,11230369,6.0,0.0,6.0,1.100,6.500,2.5
172007797,11230372,11232199,1.0,2.0,3.0,1.142,5.000,2.5
172007802,11260654,11226255,1.0,1.0,2.0,1.166,4.500,2.5
172007649,11230369,11229841,3.0,3.0,6.0,1.166,4.500,2.5
172007657,11227783,11238597,8.0,1.0,9.0,1.125,5.500,2.5
172007807,11226255,11230372,3.0,2.0,5.0,1.200,4.333,2.5
172007813,11232199,11226681,4.0,5.0,9.0,,,
172007664,11230369,11238597,2.0,4.0,6.0,1.100,6.500,2.5
172007668,11233974,11229841,3.0,2.0,5.0,1.062,8.000,2.5
172007818,11226681,11226255,3.0,7.0,10.0,1.200,4.333,2.5
172007824,11230372,11260654,2.0,4.0,6.0,1.111,6.000,2.5
172007675,11238597,11233974,2.0,4.0,6.0,1.050,8.500,2.5
172007684,11227783,11230369,2.0,1.0,3.0,1.166,4.500,2.5
172007829,11226681,11260654,2.0,5.0,7.0,,,
172007840,11232199,11226255,3.0,2.0,5.0,,,
172007696,11233974,11227783,5.0,0.0,5.0,,,
172007703,11229841,11238597,7.0,2.0,9.0,,,
172007847,11260654,11232199,2.0,1.0,3.0,1.250,3.750,2.5
172007852,11230372,11226681,3.0,2.0,5.0,1.142,5.000,2.5
172007710,11227783,11229841,3.0,1.0,4.0,1.100,6.500,2.5
172007716,11230369,11233974,1.0,6.0,7.0,1.100,6.500,2.5
172007859,11232199,11230372,2.0,5.0,7.0,1.166,4.500,2.5
172007864,11226255,11260654,3.0,0.0,3.0,1.200,4.333,2.5
172007720,11229841,11230369,1.0,0.0,1.0,1.100,6.500,2.5
172007725,11238597,11227783,3.0,7.0,10.0,1.111,6.000,2.5
172007872,11230372,11226255,1.0,1.0,2.0,,,
172007878,11226681,11232199,4.0,5.0,9.0,,,
172007881,11226255,11226681,1.0,1.0,2.0,1.200,4.333,2.5
172007886,11260654,11230372,1.0,4.0,5.0,1.142,5.000,2.5
172007729,11261484,11261065,3.0,3.0,6.0,1.100,6.500,2.5
172007735,11229900,11233978,1.0,2.0,3.0,1.050,8.500,2.5
172007888,11227265,11226253,1.0,1.0,2.0,1.142,5.000,2.5
172007892,11222748,11232214,2.0,2.0,4.0,1.333,3.250,2.5
172007749,11233978,11261484,7.0,2.0,9.0,1.062,8.000,2.5
172007755,11261065,11227798,2.0,1.0,3.0,1.166,4.500,2.5
172007895,11232214,11227265,4.0,4.0,8.0,1.285,3.500,2.5
172007898,11226253,11230380,5.0,5.0,10.0,1.142,5.000,2.5
172007762,11227798,11233978,3.0,4.0,7.0,1.100,6.500,2.5
172007767,11261484,11229900,1.0,3.0,4.0,1.062,8.000,2.5
172007902,11230380,11232214,1.0,0.0,1.0,1.142,5.000,2.5
172007913,11227265,11222748,1.0,2.0,3.0,1.166,4.500,2.5
172007775,11229900,11227798,2.0,1.0,3.0,1.111,6.000,2.5
172007786,11233978,11261065,1.0,3.0,4.0,1.083,7.000,2.5
172007919,11222748,11230380,3.0,2.0,5.0,,,
172007924,11232214,11226253,5.0,3.0,8.0,,,
172007794,11261065,11229900,1.0,1.0,2.0,1.166,4.500,2.5
172007800,11227798,11261484,2.0,6.0,8.0,1.125,5.500,2.5
172007927,11226253,11222748,2.0,2.0,4.0,1.166,4.500,2.5
172007934,11230380,11227265,2.0,0.0,2.0,1.100,6.500,2.5
172007805,11261065,11261484,3.0,2.0,5.0,1.100,6.500,2.5
172007811,11233978,11229900,2.0,4.0,6.0,1.071,7.500,2.5
172007944,11226253,11227265,3.0,3.0,6.0,1.166,4.500,2.5
172007956,11232214,11222748,1.0,1.0,2.0,1.300,3.400,2.5
172007816,11261484,11233978,2.0,4.0,6.0,1.040,9.000,2.5
172007821,11227798,11261065,3.0,2.0,5.0,1.166,4.500,2.5
172007961,11227265,11232214,1.0,3.0,4.0,1.250,3.750,2.5
172007969,11230380,11226253,0.0,0.0,0.0,1.166,4.500,2.5
172007826,11233978,11227798,3.0,2.0,5.0,1.100,6.500,2.5
172007834,11229900,11261484,2.0,2.0,4.0,1.071,7.500,2.5
172007972,11232214,11230380,3.0,1.0,4.0,1.222,4.000,2.5
172007979,11222748,11227265,3.0,6.0,9.0,1.166,4.500,2.5
172007845,11227798,11229900,2.0,5.0,7.0,1.125,5.500,2.5
172007850,11261065,11233978,2.0,3.0,5.0,1.100,6.500,2.5
172007984,11230380,11222748,3.0,2.0,5.0,1.200,4.333,2.5
172007989,11226253,11232214,4.0,3.0,7.0,1.142,5.000,2.5
172007855,11229900,11261065,2.0,3.0,5.0,1.200,4.333,2.5
172007862,11261484,11227798,2.0,4.0,6.0,1.142,5.000,2.5
172007997,11222748,11226253,1.0,2.0,3.0,1.222,4.000,2.5
172008011,11227265,11230380,3.0,2.0,5.0,1.100,6.500,2.5
172019722,11245844,11234591,3.0,1.0,4.0,1.071,7.500,2.5
172019724,11222813,11222811,1.0,2.0,3.0,1.062,8.000,2.5
172019726,11222811,11245844,3.0,4.0,7.0,1.062,8.000,2.5
172019729,11234591,11225796,2.0,2.0,4.0,1.200,4.333,2.5
