,goals_over_under,tot_goals,odd_goals_over1,odd_goals_under1,h2h_mean,media_goals_home,media_victories_home,media_goals_away,media_victories_away
88,2.5,9.0,1.005,17.0,,3.75,0.5,3.0,0.25
89,2.5,10.0,1.03,10.0,,3.75,0.5,2.5555555555555554,0.3333333333333333
90,2.5,4.0,1.285,3.5,,2.5,0.5,3.0,0.25
91,,4.0,,,6.0,3.1,0.5,1.0,0.0
92,,9.0,,,7.0,4.75,0.75,2.9,0.4
93,2.5,4.0,1.222,4.0,6.0,4.0,0.75,1.0,0.0
94,2.5,8.0,1.005,17.0,12.0,3.1,0.5,3.5,0.5
95,2.5,7.0,1.062,8.0,2.0,4.0,0.75,2.9,0.4
96,2.5,5.0,1.03,10.0,8.0,3.25,0.5,3.5,0.5
97,2.5,2.0,1.05,8.5,6.0,2.6,0.5,2.0,0.3333333333333333
98,2.5,6.0,1.02,11.0,3.0,4.0,0.75,3.5,0.5
99,2.5,5.0,1.005,17.0,7.0,2.6,0.3,2.4,0.3
100,2.5,4.0,1.142,5.0,2.0,1.9,0.1,2.0,0.3333333333333333
101,2.5,9.0,1.03,10.0,6.0,4.0,0.75,2.4,0.3
102,,2.0,,,5.0,2.6,0.3,1.0,0.0
103,2.5,2.0,1.25,3.75,1.0,1.9,0.1,1.0,0.0
104,2.5,4.0,1.083,7.0,4.0,2.0,0.6666666666666666,2.6,0.7
105,2.5,6.0,1.1,6.5,,3.25,0.5,2.4,0.3
106,2.5,7.0,1.01,15.0,,2.6,0.3,3.5,0.5
107,2.5,1.0,1.222,4.0,4.0,1.9,0.1,2.6,0.7
108,2.5,6.0,1.04,9.0,6.0,2.0,0.6666666666666666,2.0,0.3333333333333333
109,,6.0,,,,3.25,0.5,2.5,0.25
110,,12.0,,,,4.75,0.75,2.4,0.3
111,,6.0,,,,3.3333333333333335,0.6666666666666666,2.6,0.7
112,2.5,2.0,1.062,8.0,,2.6,0.3,2.5,0.25
113,2.5,8.0,1.03,10.0,,4.75,0.75,1.0,0.0
114,2.5,2.0,1.142,5.0,,3.3333333333333335,0.6666666666666666,2.3,0.4
115,2.5,3.0,1.025,10.5,,4.75,0.75,2.5,0.25
116,2.5,7.0,1.005,17.0,,3.1,0.5,2.9,0.4
117,2.5,1.0,1.25,3.75,,2.0,0.6666666666666666,2.3,0.4
118,2.5,6.0,1.03,10.0,,3.1,0.5,2.5,0.25
119,2.5,5.0,1.222,4.0,,3.25,0.5,2.9,0.4
120,2.5,4.0,1.083,7.0,,2.6,0.5,1.0,0.0
121,2.5,5.0,1.083,7.0,2.0,2.5,0.125,2.75,0.75
122,2.5,8.0,1.01,15.0,7.0,5.625,1.0,2.9,0.1
123,2.5,4.0,1.222,4.0,4.0,2.6,0.5,2.3,0.4
124,2.5,6.0,1.05,8.5,,3.3333333333333335,0.6666666666666666,1.0,0.0
125,2.5,3.0,1.222,4.0,3.0,2.4444444444444446,0.6666666666666666,2.75,0.75
126,2.5,6.0,1.005,17.0,10.0,2.5,0.125,3.375,0.5
127,2.5,4.0,1.062,8.0,6.0,1.3333333333333333,0.0,2.6666666666666665,0.3333333333333333
128,2.5,7.0,1.083,7.0,6.0,2.4444444444444446,0.6666666666666666,2.9,0.1
129,2.5,6.0,1.025,10.5,7.0,2.25,0.0,3.375,0.5
130,2.5,4.0,1.166,4.5,9.0,1.6666666666666667,0.3333333333333333,2.6666666666666665,0.3333333333333333
131,2.5,2.0,1.03,10.0,4.0,2.4444444444444446,0.6666666666666666,3.375,0.5
132,2.5,9.0,1.01,15.0,8.0,2.6,0.3,2.125,0.0
133,2.5,3.0,1.25,3.75,2.0,1.6666666666666667,0.3333333333333333,2.6666666666666665,1.0
134,2.5,7.0,1.04,9.0,6.0,2.4444444444444446,0.6666666666666666,2.125,0.0
135,2.5,5.0,1.25,3.75,8.0,2.6,0.3,2.75,0.75
136,2.5,4.0,1.083,7.0,3.0,2.6666666666666665,0.3333333333333333,2.0,0.0
137,2.5,2.0,1.083,7.0,,2.25,0.0,2.125,0.0
138,2.5,7.0,1.01,15.0,,2.6,0.3,3.375,0.5
139,2.5,3.0,1.222,4.0,8.0,1.6666666666666667,0.3333333333333333,2.0,0.0
140,2.5,7.0,1.062,8.0,6.0,2.6666666666666665,0.3333333333333333,2.6666666666666665,0.3333333333333333
141,2.5,3.0,1.222,4.0,,2.25,0.0,2.3333333333333335,0.5555555555555556
142,2.5,10.0,1.005,17.0,,5.625,1.0,2.125,0.0
143,2.5,6.0,1.083,7.0,,2.6,0.3,2.3333333333333335,0.5555555555555556
144,2.5,7.0,1.025,10.5,,5.625,1.0,2.75,0.75
145,2.5,6.0,1.083,7.0,,3.0,0.0,2.0,0.0
146,2.5,4.0,1.03,10.0,,5.625,1.0,2.3333333333333335,0.5555555555555556
147,2.5,8.0,1.01,15.0,,2.5,0.125,2.9,0.1
148,2.5,9.0,1.166,4.5,,3.0,0.0,3.6666666666666665,0.6666666666666666
149,2.5,6.0,1.03,10.0,,2.5,0.125,2.3333333333333335,0.5555555555555556
150,2.5,8.0,1.285,3.5,,2.25,0.0,2.9,0.1
151,2.5,2.0,1.25,3.75,,2.6666666666666665,0.3333333333333333,3.6666666666666665,0.6666666666666666
152,2.5,3.0,1.1,6.5,,1.3333333333333333,0.0,2.6666666666666665,1.0
153,2.5,8.0,1.2,4.333,,1.3333333333333333,0.0,3.6666666666666665,0.6666666666666666
154,2.5,6.0,1.05,8.5,,3.0,0.0,2.6666666666666665,1.0
155,2.5,6.0,1.125,5.5,5.0,3.4285714285714284,0.75,2.5,0.5
156,2.5,5.0,1.04,9.0,7.0,1.7,0.3,2.2857142857142856,0.42857142857142855
157,2.5,6.0,1.071,7.5,3.0,1.7,0.1,2.6666666666666665,0.3333333333333333
158,2.5,3.0,1.071,7.5,8.0,1.5714285714285714,0.0,2.5,0.5
159,2.5,4.0,1.083,7.0,3.3333333333333335,3.4285714285714284,0.75,3.0,0.6
160,2.5,7.0,1.166,4.5,3.0,3.0,0.6666666666666666,2.6666666666666665,0.3333333333333333
161,2.5,4.0,1.071,7.5,5.666666666666667,1.5714285714285714,0.0,2.2857142857142856,0.42857142857142855
162,2.5,7.0,1.071,7.5,6.0,2.6,0.3,3.0,0.6
163,2.5,3.0,1.3,3.4,3.0,3.0,0.6666666666666666,3.2,0.6
164,2.5,8.0,1.015,12.0,4.666666666666667,1.5714285714285714,0.0,3.0,0.6
165,2.5,7.0,1.166,4.5,5.0,3.4285714285714284,0.42857142857142855,3.142857142857143,1.0
166,2.5,2.0,1.111,6.0,4.0,2.9,0.8,1.7,0.1
167,2.5,2.0,1.071,7.5,5.333333333333333,1.5714285714285714,0.0,3.142857142857143,1.0
168,2.5,6.0,1.05,8.5,6.0,3.4285714285714284,0.42857142857142855,2.5,0.5
169,2.5,5.0,1.222,4.0,5.0,3.0,0.6666666666666666,1.7,0.1
170,2.5,5.0,1.05,8.5,6.0,2.9,0.8,2.6666666666666665,0.3333333333333333
171,2.5,5.0,1.125,5.5,,2.6,0.3,3.142857142857143,1.0
172,2.5,7.0,1.04,9.0,7.0,3.4285714285714284,0.42857142857142855,3.0,0.6
173,2.5,3.0,1.071,7.5,,1.6666666666666667,0.0,1.7,0.1
174,2.5,8.0,1.071,7.5,,2.6,0.3,2.2857142857142856,0.2857142857142857
175,2.5,2.0,1.071,7.5,4.0,1.7,0.3,3.142857142857143,1.0
176,2.5,3.0,1.166,4.5,,1.6666666666666667,0.0,2.0,0.6666666666666666
177,2.5,5.0,1.062,8.0,6.0,3.4285714285714284,0.42857142857142855,2.2857142857142856,0.2857142857142857
178,2.5,6.0,1.071,7.5,,1.7,0.3,2.5,0.5
179,2.5,3.0,1.285,3.5,,2.9,0.8,2.0,0.6666666666666666
180,2.5,4.0,1.015,12.0,5.0,1.7,0.3,2.2857142857142856,0.2857142857142857
181,2.5,4.0,1.111,6.0,5.5,3.4285714285714284,0.75,2.2857142857142856,0.42857142857142855
182,2.5,4.0,1.125,5.5,,1.7,0.1,3.2,0.6
183,2.5,6.0,1.071,7.5,5.0,3.4285714285714284,0.75,2.2857142857142856,0.2857142857142857
184,2.5,6.0,1.05,8.5,,2.6,0.3,2.2857142857142856,0.42857142857142855
185,2.5,5.0,1.166,4.5,,1.7,0.1,2.0,0.6666666666666666
186,2.5,6.0,1.05,8.5,,1.6666666666666667,0.0,3.2,0.6
187,2.5,5.0,1.142,5.0,5.0,2.6666666666666665,0.16666666666666666,3.1,0.4
188,2.5,8.0,1.04,9.0,7.666666666666667,3.0,0.2857142857142857,3.1,0.4
189,2.5,9.0,1.062,8.0,6.0,3.0,0.3,3.1,0.4
190,2.5,8.0,1.111,6.0,7.666666666666667,2.6666666666666665,0.16666666666666666,3.4285714285714284,0.42857142857142855
191,2.5,5.0,1.071,7.5,5.0,3.0,0.3,3.1,0.4
