,home,away,home_goals,away_goals,media_goals_home,media_goals_away,media_victories_home,media_victories_away,home_h2h_mean,away_h2h_mean,odds,indefinido,perde,ganha,reembolso,draw_no_bet_team_1.0,draw_no_bet_team_2.0
146,11235250,11252913,0.0,0.0,0.4,1.8,0.0,0.4,,,2.2,False,False,False,True,True,False
147,11253639,11257498,1.0,1.0,2.4,1.4,0.4,0.2,,,1.8,False,False,False,True,True,False
148,11267264,11238343,1.0,3.0,2.0,3.4,0.3333333333333333,0.6,,,2.0,False,True,False,False,True,False
149,11257498,11252913,2.0,2.0,0.8,1.8,0.0,0.4,,,,True,False,False,False,False,False
150,11253639,11232015,3.0,1.0,2.4,1.6,0.4,0.6,1.0,0.5,,True,False,False,False,False,False
151,11267264,11239075,3.0,5.0,2.0,3.0,0.3333333333333333,0.3333333333333333,,,,True,False,False,False,False,False
152,11257498,11235250,0.0,2.0,0.8,1.8,0.0,0.6,,,,True,False,False,False,False,False
153,11232015,11252913,1.0,2.0,2.0,1.8,0.4,0.4,1.5,1.5,,True,False,False,False,False,False
154,11253639,11235250,2.0,3.0,2.4,1.8,0.4,0.6,,,,True,False,False,False,False,False
155,11232015,11257498,2.0,1.0,2.0,1.4,0.4,0.2,,,,True,False,False,False,False,False
156,11239076,11239075,3.0,0.0,3.0,3.0,0.6,0.3333333333333333,,,,True,False,False,False,False,False
157,11232015,11235250,2.0,2.0,2.0,1.8,0.4,0.6,,,,True,False,False,False,False,False
158,11252913,11253639,1.0,0.0,1.2,2.0,0.6,0.8,1.5,1.0,,True,False,False,False,False,False
159,11239076,11267264,1.0,3.0,3.0,2.3333333333333335,0.6,0.3333333333333333,,,,True,False,False,False,False,False
160,11238343,11239075,5.0,4.0,4.0,3.0,0.6,0.3333333333333333,,,,True,False,False,False,False,False
161,11252913,11235250,1.0,0.0,1.2,1.8,0.6,0.6,,,,True,False,False,False,False,False
162,11257498,11253639,1.0,3.0,0.8,2.0,0.0,0.8,,,,True,False,False,False,False,False
163,11238343,11239076,2.0,3.0,4.0,2.2,0.6,0.4,2.5,2.5,,True,False,False,False,False,False
164,11238343,11267264,5.0,3.0,4.0,2.3333333333333335,0.6,0.3333333333333333,,,1.666,False,False,True,False,True,False
165,11239075,11267264,2.0,1.0,2.3333333333333335,2.3333333333333335,0.3333333333333333,0.3333333333333333,,,1.533,False,False,True,False,True,False
166,11267295,11248750,1.0,1.0,3.0,2.0,0.3333333333333333,0.6666666666666666,,,1.833,False,False,False,True,True,False
167,11222478,11256661,3.0,2.0,2.0,2.5,0.5,0.4,,,1.833,False,False,True,False,True,False
168,11227327,11248750,2.0,4.0,2.4,2.0,0.4,0.6666666666666666,,,2.2,False,True,False,False,True,False
169,11267295,11237125,6.0,2.0,3.0,2.0,0.3333333333333333,0.0,,,1.666,False,False,True,False,True,False
170,11256661,11249657,4.0,5.0,3.2,3.2,0.2,0.8,,,,True,False,False,False,False,False
171,11248750,11237125,4.0,2.0,2.6666666666666665,2.0,0.6666666666666666,0.0,,,,True,False,False,False,False,False
172,11222478,11249657,1.0,4.0,2.0,3.2,0.5,0.8,,,,True,False,False,False,False,False
173,11227327,11237125,3.0,2.0,2.4,2.0,0.4,0.0,,,2.0,False,False,True,False,True,False
174,11227327,11267295,0.0,5.0,2.4,2.6666666666666665,0.4,0.3333333333333333,,,2.5,False,True,False,False,True,False
175,11248750,11267295,1.0,1.0,2.6666666666666665,2.6666666666666665,0.6666666666666666,0.3333333333333333,,,1.833,False,False,False,True,True,False
176,11256661,11222478,3.0,4.0,3.2,2.0,0.2,0.5,,,,True,False,False,False,False,False
177,11248750,11227327,3.0,2.0,2.6666666666666665,2.2,0.6666666666666666,0.4,,,1.571,False,False,True,False,True,False
178,11237125,11267295,2.0,2.0,1.3333333333333333,2.6666666666666665,0.0,0.3333333333333333,,,2.1,False,False,False,True,True,False
179,11249657,11256661,5.0,2.0,2.2,2.5,0.4,0.4,,,1.615,False,False,True,False,True,False
180,11237125,11248750,0.0,1.0,1.3333333333333333,2.0,0.0,0.6666666666666666,,,2.2,False,True,False,False,True,False
181,11249657,11222478,0.0,0.0,2.2,2.0,0.4,0.5,,,,True,False,False,False,False,False
182,11237125,11227327,2.0,3.0,1.3333333333333333,2.2,0.0,0.4,,,1.727,False,True,False,False,True,False
183,11267295,11227327,2.0,2.0,3.0,2.2,0.3333333333333333,0.4,,,1.444,False,False,False,True,True,False
