,id,home,away,home_goals,away_goals,tot_goals,goals_over_under,odd_goals_over1,odd_goals_under1,asian_handicap1,team_ah1,odds_ah1,asian_handicap2,team_ah2,odds_ah2,goal_line1,type_gl1,odds_gl1,goal_line2,type_gl2,odds_gl2,double_chance1,odds_dc1,double_chance2,odds_dc2,double_chance3,odds_dc3,draw_no_bet_team1,odds_dnb1,draw_no_bet_team2,odds_dnb2,event_day,media_goals_home,media_victories_home,media_goals_away,media_victories_away,h2h_mean,home_h2h_mean,away_h2h_mean,res_goals_over_under,asian_handicap1_1,asian_handicap1_2,asian_handicap2_1,asian_handicap2_2,diff_goals,ah1_indefinido,ah1_negativo,ah1_positivo,ah1_reembolso,ah2_indefinido,ah2_negativo,ah2_positivo,ah2_reembolso,goal_line1_1,goal_line1_2,goal_line2_1,goal_line2_2,gl1_indefinido,gl1_negativo,gl1_positivo,gl1_reembolso,gl2_indefinido,gl2_negativo,gl2_positivo,gl2_reembolso,res_double_chance1,res_double_chance2,res_double_chance3,dnb1_ganha,dnb1_indefinido,dnb1_perde,dnb1_reembolso,dnb2_ganha,dnb2_indefinido,dnb2_perde,dnb2_reembolso
244,173355774,11249958,11244495,3,3,6,2.5,1.100,6.500,,,,,,,,,,,,,Real Madrid (Hyper) or Draw,1.222,Draw or PSG (Bolec),1.950,Real Madrid (Hyper) or PSG (Bolec),1.166,1,1.363,2,3.000,20250420,,,,,,,,True,,,,,0,True,False,False,False,True,False,False,False,,,,,True,False,False,False,True,False,False,False,1,1,0,False,False,False,True,False,False,False,True
245,173355783,11241233,11244159,2,1,3,2.5,1.071,7.500,,,,,,,,,,,,,Man City (arch) or Draw,1.400,Draw or River Plate (Glumac),1.550,Man City (arch) or River Plate (Glumac),1.222,1,1.727,2,2.000,20250420,,,,,,,,True,,,,,1,True,False,False,False,True,False,False,False,,,,,True,False,False,False,True,False,False,False,1,0,1,True,False,False,False,False,False,True,False
246,173355792,11244495,11241233,1,1,2,2.5,1.250,3.750,0.0,1,1.950,0.0,2,1.750,4.0,1.0,1.775,4.0,2.0,1.925,PSG (Bolec) or Draw,1.500,Draw or Man City (arch),1.400,PSG (Bolec) or Man City (arch),1.250,1,2.000,2,1.727,20250420,,,,,,,,False,0.0,0.0,0.0,0.0,0,False,False,False,True,False,False,False,True,4.0,4.0,4.0,4.0,False,True,False,False,False,False,True,False,1,1,0,False,False,False,True,False,False,False,True
247,173355794,11240769,11249958,2,6,8,2.5,1.050,8.500,0.0,1,1.850,0.0,2,1.850,5.5,1.0,1.800,5.5,2.0,1.900,Boca Juniors (Boki) or Draw,1.533,Draw or Real Madrid (Hyper),1.533,Boca Juniors (Boki) or Real Madrid (Hyper),1.125,1,1.833,2,1.833,20250420,,,,,,,,True,0.0,0.0,0.0,0.0,-4,False,False,True,False,False,False,True,False,5.5,5.5,5.5,5.5,False,False,True,False,False,True,False,False,0,1,1,False,False,True,False,True,False,False,False
248,173355796,11240864,11241837,3,1,4,2.5,1.111,6.000,,,,,,,,,,,,,Fenerbahce (Boki) or Draw,1.300,Draw or Man Utd (arch),1.615,Fenerbahce (Boki) or Man Utd (arch),1.222,1,1.571,2,2.250,20250420,,,,,,,,True,,,,,2,True,False,False,False,True,False,False,False,,,,,True,False,False,False,True,False,False,False,1,0,1,True,False,False,False,False,False,True,False
249,173355798,11244532,11244192,0,2,2,2.5,1.142,5.000,,,,,,,,,,,,,Roma (Bolec) or Draw,1.600,Draw or Eintracht (Glumac),1.250,Roma (Bolec) or Eintracht (Glumac),1.300,1,2.375,2,1.533,20250420,,,,,,,,False,,,,,-2,True,False,False,False,True,False,False,False,,,,,True,False,False,False,True,False,False,False,0,1,1,False,False,True,False,True,False,False,False
250,173355800,11244192,11240864,0,5,5,2.5,1.071,7.500,+0.5,1,1.800,-0.5,2,1.900,"5.0, 5.5",1.0,1.800,"5.0, 5.5",2.0,1.900,Eintracht (Glumac) or Draw,1.800,Draw or Fenerbahce (Boki),1.285,Eintracht (Glumac) or Fenerbahce (Boki),1.222,1,2.500,2,1.500,20250420,,,,,,,,True,0.5,0.5,-0.5,-0.5,-5,False,False,True,False,False,False,True,False,5.0,5.5,5.0,5.5,False,False,False,True,False,False,False,True,0,1,1,False,False,True,False,True,False,False,False
251,173355802,11241837,11250077,1,2,3,2.5,1.062,8.000,+0.5,1,1.825,-0.5,2,1.875,5.5,1.0,1.850,5.5,2.0,1.850,Man Utd (arch) or Draw,1.727,Draw or Tottenham (Hyper),1.333,Man Utd (arch) or Tottenham (Hyper),1.142,1,2.375,2,1.533,20250420,,,,,,,,True,0.5,0.5,-0.5,-0.5,-1,False,False,True,False,False,False,True,False,5.5,5.5,5.5,5.5,False,True,False,False,False,False,True,False,0,1,1,False,False,True,False,True,False,False,False
252,173355804,11250077,11244192,4,3,7,2.5,1.050,8.500,,,,,,,,,,,,,Tottenham (Hyper) or Draw,1.285,Draw or Eintracht (Glumac),1.800,Tottenham (Hyper) or Eintracht (Glumac),1.166,1,1.500,2,2.500,20250420,,,,,,,,True,,,,,1,True,False,False,False,True,False,False,False,,,,,True,False,False,False,True,False,False,False,1,0,1,True,False,False,False,False,False,True,False
253,173355806,11240864,11244532,3,2,5,2.5,1.222,4.000,-0.5,1,1.875,+0.5,2,1.825,4.0,1.0,1.850,4.0,2.0,1.850,Fenerbahce (Boki) or Draw,1.333,Draw or Roma (Bolec),1.800,Fenerbahce (Boki) or Roma (Bolec),1.142,1,1.533,2,2.375,20250420,,,,,,,,True,-0.5,-0.5,0.5,0.5,1,False,True,False,False,False,True,False,False,4.0,4.0,4.0,4.0,False,False,True,False,False,True,False,False,1,0,1,True,False,False,False,False,False,True,False
254,173355808,11244532,11250077,1,4,5,2.5,1.125,5.500,+0.5,1,1.925,-0.5,2,1.775,"4.5, 5.0",1.0,1.875,"4.5, 5.0",2.0,1.825,Roma (Bolec) or Draw,1.909,Draw or Tottenham (Hyper),1.250,Roma (Bolec) or Tottenham (Hyper),1.166,1,2.750,2,1.400,20250420,,,,,,,,True,0.5,0.5,-0.5,-0.5,-3,False,False,True,False,False,False,True,False,4.5,5.0,4.5,5.0,False,False,False,True,False,False,False,True,0,1,1,False,False,True,False,True,False,False,False
255,173355811,11244192,11241837,3,0,3,2.5,1.100,6.500,0.0,1,1.875,0.0,2,1.825,"5.0, 5.5",1.0,1.900,"5.0, 5.5",2.0,1.800,Eintracht (Glumac) or Draw,1.444,Draw or Man Utd (arch),1.444,Eintracht (Glumac) or Man Utd (arch),1.250,1,1.833,2,1.833,20250420,,,,,,,,True,0.0,0.0,0.0,0.0,3,False,True,False,False,False,True,False,False,5.0,5.5,5.0,5.5,False,True,False,False,False,False,True,False,1,0,1,True,False,False,False,False,False,True,False
256,173355815,11241837,11244532,1,1,2,2.5,1.250,3.750,,,,,,,,,,,,,Man Utd (arch) or Draw,1.444,Draw or Roma (Bolec),1.500,Man Utd (arch) or Roma (Bolec),1.222,1,1.800,2,1.909,20250420,,,,,,,,False,,,,,0,True,False,False,False,True,False,False,False,,,,,True,False,False,False,True,False,False,False,1,1,0,False,False,False,True,False,False,False,True
257,173355818,11250077,11240864,0,3,3,2.5,1.040,9.000,,,,,,,,,,,,,Tottenham (Hyper) or Draw,1.500,Draw or Fenerbahce (Boki),1.571,Tottenham (Hyper) or Fenerbahce (Boki),1.125,1,1.800,2,1.909,20250420,,,,,,,,True,,,,,-3,True,False,False,False,True,False,False,False,,,,,True,False,False,False,True,False,False,False,0,1,1,False,False,True,False,True,False,False,False
258,173355824,11241837,11240864,3,5,8,2.5,1.111,6.000,+0.5,1,1.800,-0.5,2,1.900,5.0,1.0,1.900,5.0,2.0,1.800,Man Utd (arch) or Draw,1.727,Draw or Fenerbahce (Boki),1.300,Man Utd (arch) or Fenerbahce (Boki),1.181,1,2.375,2,1.533,20250420,,,,,,,,True,0.5,0.5,-0.5,-0.5,-2,False,False,True,False,False,False,True,False,5.0,5.0,5.0,5.0,False,False,True,False,False,True,False,False,0,1,1,False,False,True,False,True,False,False,False
259,173355835,11244192,11244532,2,2,4,2.5,1.166,4.500,"0.0, -0.5",1,1.775,"0.0, +0.5",2,1.925,4.5,1.0,1.850,4.5,2.0,1.850,Eintracht (Glumac) or Draw,1.250,Draw or Roma (Bolec),1.666,Eintracht (Glumac) or Roma (Bolec),1.285,1,1.500,2,2.500,20250420,,,,,,,,True,0.0,-0.5,0.0,0.5,0,False,False,False,True,False,False,False,True,4.5,4.5,4.5,4.5,False,True,False,False,False,False,True,False,1,1,0,False,False,False,True,False,False,False,True
