,id,home,away,home_goals,away_goals,tot_goals,goals_over_under,odd_goals_over1,odd_goals_under1,asian_handicap1,team_ah1,odds_ah1,asian_handicap2,team_ah2,odds_ah2,goal_line1,type_gl1,odds_gl1,goal_line2,type_gl2,odds_gl2,double_chance1,odds_dc1,double_chance2,odds_dc2,double_chance3,odds_dc3,draw_no_bet_team1,odds_dnb1,draw_no_bet_team2,odds_dnb2,event_day,media_goals_home,media_victories_home,media_goals_away,media_victories_away,h2h_mean,home_h2h_mean,away_h2h_mean,res_goals_over_under,asian_handicap1_1,asian_handicap1_2,asian_handicap2_1,asian_handicap2_2,diff_goals,classificacao_ah1,classificacao_ah2,ah1_positivo,ah1_negativo,ah1_reembolso,ah1_indefinido,ah1_meio_ganho,ah2_positivo,ah2_negativo,ah2_reembolso,ah2_indefinido,ah2_meio_ganho,ah2_meia_perda,goal_line1_1,goal_line1_2,goal_line2_1,goal_line2_2,classificacao_gl1,classificacao_gl2,gl1_positivo,gl1_negativo,gl1_reembolso,gl1_indefinido,gl1_meio_ganho,gl1_meia_perda,gl2_positivo,gl2_negativo,gl2_reembolso,gl2_indefinido,gl2_meio_ganho,gl2_meia_perda,res_double_chance1,res_double_chance2,res_double_chance3,res_draw_no_bet1,res_draw_no_bet2,dnb1_ganha,dnb1_perde,dnb1_reembolso,dnb1_indefinido,dnb2_ganha,dnb2_perde,dnb2_reembolso,dnb2_indefinido
966,173584543,11275065,11275063,3.0,4.0,7.0,2.5,1.200,4.333,,,,,,,,,,,,,River Plate (HUNTER) or Draw,1.571,Draw or Man City (_Pedro_69),1.500,River Plate (HUNTER) or Man City (_Pedro_69),1.142,1,2.000,2,1.727,20250426,,,,,,,,True,,,,,-1.0,indefinido,indefinido,False,False,False,True,False,False,False,False,True,False,False,,,,,indefinido,indefinido,False,False,False,True,False,False,False,False,False,True,False,False,0,1,1,perde,ganha,False,True,False,False,True,False,False,False
967,173588387,11239473,11235442,2.0,3.0,5.0,2.5,1.111,6.000,,,,,,,,,,,,,Netherlands (cl1vlind) or Draw,1.333,Draw or Sweden (Koftovsky),1.666,Netherlands (cl1vlind) or Sweden (Koftovsky),1.181,1,1.571,2,2.250,20250426,,,,,,,,True,,,,,-1.0,indefinido,indefinido,False,False,False,True,False,False,False,False,True,False,False,,,,,indefinido,indefinido,False,False,False,True,False,False,False,False,False,True,False,False,0,1,1,perde,ganha,False,True,False,False,True,False,False,False
968,173588389,11224521,11225924,2.0,1.0,3.0,2.5,1.111,6.000,,,,,,,,,,,,,Portugal (Uncle) or Draw,1.444,Draw or Mexico (Senior),1.533,Portugal (Uncle) or Mexico (Senior),1.181,1,1.800,2,1.909,20250426,,,,,,,,True,,,,,1.0,indefinido,indefinido,False,False,False,True,False,False,False,False,True,False,False,,,,,indefinido,indefinido,False,False,False,True,False,False,False,False,False,True,False,False,1,0,1,ganha,perde,True,False,False,False,False,True,False,False
969,173584551,11275063,11275070,6.0,3.0,9.0,2.5,1.142,5.000,,,,,,,,,,,,,Man City (_Pedro_69) or Draw,1.300,Draw or Boca Juniors (Kyba51),1.833,Man City (_Pedro_69) or Boca Juniors (Kyba51),1.125,1,1.500,2,2.500,20250426,,,,,,,,True,,,,,3.0,indefinido,indefinido,False,False,False,True,False,False,False,False,True,False,False,,,,,indefinido,indefinido,False,False,False,True,False,False,False,False,False,True,False,False,1,0,1,ganha,perde,True,False,False,False,False,True,False,False
970,173584554,11275064,11275066,2.0,2.0,4.0,2.5,1.071,7.500,,,,,,,,,,,,,PSG (A1ose) or Draw,1.200,Draw or Real Madrid (WellBeck06_09),2.150,PSG (A1ose) or Real Madrid (WellBeck06_09),1.125,1,1.300,2,3.400,20250426,,,,,,,,True,,,,,0.0,indefinido,indefinido,False,False,False,True,False,False,False,False,True,False,False,,,,,indefinido,indefinido,False,False,False,True,False,False,False,False,False,True,False,False,1,1,0,reembolso,reembolso,False,False,True,False,False,False,True,False
971,173588393,11239473,11225924,3.0,1.0,4.0,2.5,1.071,7.500,,,,,,,,,,,,,Netherlands (cl1vlind) or Draw,1.444,Draw or Mexico (Senior),1.500,Netherlands (cl1vlind) or Mexico (Senior),1.200,1,1.833,2,1.833,20250426,,,,,,,,True,,,,,2.0,indefinido,indefinido,False,False,False,True,False,False,False,False,True,False,False,,,,,indefinido,indefinido,False,False,False,True,False,False,False,False,False,True,False,False,1,0,1,ganha,perde,True,False,False,False,False,True,False,False
972,173588396,11235438,11235442,3.0,4.0,7.0,2.5,1.020,11.000,,,,,,,,,,,,,Croatia (Kravatskhelia) or Draw,1.222,Draw or Sweden (Koftovsky),2.150,Croatia (Kravatskhelia) or Sweden (Koftovsky),1.111,1,1.333,2,3.250,20250426,,,,,,,,True,,,,,-1.0,indefinido,indefinido,False,False,False,True,False,False,False,False,True,False,False,,,,,indefinido,indefinido,False,False,False,True,False,False,False,False,False,True,False,False,0,1,1,perde,ganha,False,True,False,False,True,False,False,False
973,173584556,11275066,11275063,6.0,0.0,6.0,2.5,1.166,4.500,"0.0, +0.5",1,1.825,"0.0, -0.5",2,1.875,"4.0, 4.5",1.0,1.800,"4.0, 4.5",2.0,1.900,Real Madrid (WellBeck06_09) or Draw,1.600,Draw or Man City (_Pedro_69),1.363,Real Madrid (WellBeck06_09) or Man City (_Pedro_69),1.222,1,2.100,2,1.666,20250426,,,,,,,,True,0.0,0.5,0.0,-0.5,6.0,positivo,negativo,True,False,False,False,False,False,True,False,False,False,False,4.0,4.5,4.0,4.5,positivo,negativo,True,False,False,False,False,False,False,True,False,False,False,False,1,0,1,ganha,perde,True,False,False,False,False,True,False,False
974,173584560,11275070,11275065,1.0,3.0,4.0,2.5,1.166,4.500,"0.0, +0.5",1,1.900,"0.0, -0.5",2,1.800,"4.0, 4.5",1.0,1.800,"4.0, 4.5",2.0,1.900,Boca Juniors (Kyba51) or Draw,1.666,Draw or River Plate (HUNTER),1.333,Boca Juniors (Kyba51) or River Plate (HUNTER),1.200,1,2.250,2,1.571,20250426,,,,,,,,True,0.0,0.5,0.0,-0.5,-2.0,negativo,positivo,False,True,False,False,False,True,False,False,False,False,False,4.0,4.5,4.0,4.5,meia_perda,meio_ganho,False,False,False,False,False,True,False,False,False,False,True,False,0,1,1,perde,ganha,False,True,False,False,True,False,False,False
975,173588401,11225924,11235438,4.0,3.0,7.0,2.5,1.050,8.500,,,,,,,,,,,,,Mexico (Senior) or Draw,1.700,Draw or Croatia (Kravatskhelia),1.363,Mexico (Senior) or Croatia (Kravatskhelia),1.142,1,2.250,2,1.571,20250426,,,,,,,,True,,,,,1.0,indefinido,indefinido,False,False,False,True,False,False,False,False,True,False,False,,,,,indefinido,indefinido,False,False,False,True,False,False,False,False,False,True,False,False,1,0,1,ganha,perde,True,False,False,False,False,True,False,False
