,media_goals_home,media_goals_away,home_h2h_mean,away_h2h_mean,asian_handicap_1,asian_handicap_2,odds,indefinido,negativo,positivo,reembolso
292,3.2,2.0,,,0.0,-0.5,1.9,False,True,False,False
293,3.2,1.8,,,0.0,0.0,1.85,False,False,True,False
296,2.5,2.8,,,0.5,1.0,1.825,False,False,True,False
297,2.2,3.4,1.0,3.0,0.0,0.5,1.775,False,True,False,False
298,1.4,1.8,3.0,2.0,0.0,0.0,1.725,False,False,True,False
299,2.6,3.8,,,0.5,1.0,1.85,False,False,True,False
312,2.5,3.4,,,0.0,0.5,1.8,False,True,False,False
313,2.2,3.6,,,0.0,0.0,1.875,False,True,False,False
314,3.2,1.8,2.0,3.0,0.0,-0.5,1.85,False,True,False,False
315,2.4,2.0,,,-0.5,-1.0,1.875,False,True,False,False
322,2.8,2.6,6.0,3.0,0.0,-0.5,1.85,False,False,True,False
323,1.8,2.6,1.0,1.0,0.0,-0.5,1.85,False,True,False,False
324,2.4,3.2,,,0.0,0.0,1.8,False,False,False,True
325,2.8,4.5,,,0.0,-0.5,1.8,False,True,False,False
326,1.6,2.2,,,0.0,0.0,1.8,False,True,False,False
327,2.8,4.8,3.0,4.0,0.5,1.0,1.8,False,True,False,False
328,4.5,3.6,,,0.5,1.0,1.8,False,False,True,False
329,2.4,4.8,,,0.0,0.0,1.85,False,True,False,False
344,2.4,3.6,,,0.0,0.0,1.9,False,True,False,False
345,4.5,3.2,,,0.0,0.5,1.8,False,True,False,False
348,2.4,4.5,,,-0.5,-1.0,1.9,False,True,False,False
350,1.6,4.8,1.0,3.0,0.5,1.0,1.875,False,True,False,False
351,1.8,2.2,,,0.0,0.5,1.85,False,False,True,False
352,4.5,4.8,,,0.0,0.5,1.8,False,False,True,False
353,2.8,3.6,,,0.0,0.0,1.875,False,True,False,False
366,2.5,2.5,,,0.0,0.0,1.85,False,True,False,False
367,3.0,3.75,3.0,3.0,0.5,1.0,1.8,False,False,True,False
368,2.0,2.8,,,0.5,1.0,1.825,False,True,False,False
369,2.8,4.2,,,0.0,0.0,1.85,False,False,False,True
370,3.0,1.8,1.0,4.0,-1.0,-1.0,1.85,False,True,False,False
371,5.0,3.0,,,0.0,0.0,1.85,False,False,True,False
