,media_goals_home,media_goals_away,home_h2h_mean,away_h2h_mean,asian_handicap_1,asian_handicap_2,odds,indefinido,negativo,positivo,reembolso
122,2.8,4.0,4.0,3.5,0.0,0.0,1.875,False,,,False
123,1.0,1.25,,,0.0,0.0,1.85,False,,,False
124,1.5,1.75,,,0.0,0.5,1.9,False,,,False
125,2.8,4.0,,,-0.5,-0.5,1.9,False,,,False
126,1.8,4.0,,,0.0,0.5,1.85,False,,,True
127,1.5,1.25,,,0.0,0.5,1.9,False,,,True
128,1.2,1.5,,,0.0,-0.5,1.9,False,,,False
129,1.8,2.8,,,,,,True,,,False
130,1.2,1.25,,,0.0,-0.5,1.9,False,,,False
131,1.25,1.5,,,0.0,0.0,1.85,False,,,False
132,1.8,4.0,,,0.0,-0.5,1.8,False,,,False
133,1.2,1.4,,,0.0,0.0,1.875,False,,,False
134,2.0,2.0,2.5,1.5,0.0,0.0,1.85,False,,,False
135,3.8,4.0,,,-1.0,-1.0,1.9,False,,,False
136,0.4,1.4,,,0.0,0.0,1.925,False,,,False
137,1.2,1.6,1.5,2.5,0.0,-0.5,1.9,False,,,False
138,2.3333333333333335,2.2,,,0.0,0.0,1.8,False,,,True
139,0.4,2.0,,,0.0,0.0,1.875,False,,,False
140,0.8,1.6,,,0.0,-0.5,1.85,False,,,True
141,2.0,2.2,,,,,,True,,,False
142,2.3333333333333335,3.4,,,,,,True,,,False
143,0.4,1.6,,,,,,True,,,False
144,2.4,1.8,2.5,2.5,,,,True,,,False
145,3.0,3.4,3.5,4.0,0.0,-0.5,1.85,False,,,False
146,0.4,1.8,,,0.0,0.5,1.825,False,,,True
147,2.4,1.4,,,0.0,0.0,1.8,False,,,True
148,2.0,3.4,,,0.0,0.5,1.825,False,,,False
149,0.8,1.8,,,,,,True,,,False
150,2.4,1.6,1.0,0.5,,,,True,,,False
151,2.0,3.0,,,,,,True,,,False
152,0.8,1.8,,,0.0,0.0,1.8,False,,,False
153,2.0,1.8,1.5,1.5,0.0,0.5,1.85,False,,,False
154,2.4,1.8,,,0.0,0.0,1.875,False,,,False
155,2.0,1.4,,,0.0,0.5,1.9,False,,,False
156,3.0,3.0,,,0.0,0.0,1.875,False,,,False
157,2.0,1.8,,,0.0,0.5,1.875,False,,,True
158,1.2,2.0,1.5,1.0,,,,True,,,False
159,3.0,2.3333333333333335,,,,,,True,,,False
160,4.0,3.0,,,,,,True,,,False
161,1.2,1.8,,,,,,True,,,False
162,0.8,2.0,,,,,,True,,,False
163,4.0,2.2,2.5,2.5,,,,True,,,False
164,4.0,2.3333333333333335,,,,,,True,,,False
165,2.3333333333333335,2.3333333333333335,,,,,,True,,,False
166,3.0,2.0,,,0.0,0.0,1.825,False,,,True
167,2.0,2.5,,,0.0,0.0,1.825,False,,,False
168,2.4,2.0,,,,,,True,,,False
169,3.0,2.0,,,,,,True,,,False
170,3.2,3.2,,,,,,True,,,False
171,2.6666666666666665,2.0,,,,,,True,,,False
172,2.0,3.2,,,,,,True,,,False
173,2.4,2.0,,,,,,True,,,False
174,2.4,2.6666666666666665,,,,,,True,,,False
175,2.6666666666666665,2.6666666666666665,,,,,,True,,,False
176,3.2,2.0,,,,,,True,,,False
177,2.6666666666666665,2.2,,,,,,True,,,False
178,1.3333333333333333,2.6666666666666665,,,,,,True,,,False
179,2.2,2.5,,,,,,True,,,False
180,1.3333333333333333,2.0,,,,,,True,,,False
181,2.2,2.0,,,,,,True,,,False
182,1.3333333333333333,2.2,,,0.0,-0.5,1.9,False,,,False
